Series_Title,Released_Year,Grade,No_of_Votes
The Shawshank Redemption,1994,,
The Godfather,1972,,
The Dark Knight,2008,,
The Godfather: Part II,1974,,
12 Angry Men,1957,,
The Lord of the Rings: The Return of the King,2003,,
Pulp Fiction,1994,,
Schindler's List,1993,,
Inception,2010,,
Fight Club,1999,,
The Lord of the Rings: The Fellowship of the Ring,2001,,
Forrest Gump,1994,,
"Il buono, il brutto, il cattivo",1966,,
The Lord of the Rings: The Two Towers,2002,,
The Matrix,1999,,
Goodfellas,1990,,
Star Wars: Episode V - The Empire Strikes Back,1980,,
One Flew Over the Cuckoo's Nest,1975,,
Hamilton,2020,,
Gisaengchung,2019,,
Soorarai Pottru,2020,,
Interstellar,2014,,
Cidade de Deus,2002,,
Sen to Chihiro no kamikakushi,2001,,
Saving Private Ryan,1998,,
The Green Mile,1999,,
La vita è bella,1997,,
Se7en,1995,,
The Silence of the Lambs,1991,,
Star Wars,1977,,
Seppuku,1962,,
Shichinin no samurai,1954,,
It's a Wonderful Life,1946,,
Joker,2019,,
Whiplash,2014,,
The Intouchables,2011,,
The Prestige,2006,,
The Departed,2006,,
The Pianist,2002,,
Gladiator,2000,,
American History X,1998,,
The Usual Suspects,1995,,
Léon,1994,,
The Lion King,1994,,
Terminator 2: Judgment Day,1991,,
Nuovo Cinema Paradiso,1988,,
Hotaru no haka,1988,,
Back to the Future,1985,,
Once Upon a Time in the West,1968,,
Psycho,1960,,
Casablanca,1942,,
Modern Times,1936,,
City Lights,1931,,
Capharnaüm,2018,,
Ayla: The Daughter of War,2017,,
Vikram Vedha,2017,,
Kimi no na wa.,2016,,
Dangal,2016,,
Spider-Man: Into the Spider-Verse,2018,,
Avengers: Endgame,2019,,
Avengers: Infinity War,2018,,
Coco,2017,,
Django Unchained,2012,,
The Dark Knight Rises,2012,,
3 Idiots,2009,,
Taare Zameen Par,2007,,
WALL·E,2008,,
The Lives of Others,2006,,
Oldeuboi,2003,,
Memento,2000,,
Mononoke-hime,1997,,
Once Upon a Time in America,1984,,
Raiders of the Lost Ark,1981,,
The Shining,1980,,
Apocalypse Now,1979,,
Alien,1979,,
Anand,1971,,
Tengoku to jigoku,1963,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,
Witness for the Prosecution,1957,,
Paths of Glory,1957,,
Rear Window,1954,,
Sunset Blvd.,1950,,
The Great Dictator,1940,,
1917,2019,,
Tumbbad,2018,,
Andhadhun,2018,,
Drishyam,2013,,
Jagten,2012,,
Jodaeiye Nader az Simin,2011,,
Incendies,2010,,
Miracle in cell NO.7,2019,,
Babam ve Oglum,2005,,
Inglourious Basterds,2009,,
Eternal Sunshine of the Spotless Mind,2004,,
Amélie,2001,,
Snatch,2000,,
Requiem for a Dream,2000,,
American Beauty,1999,,
Good Will Hunting,1997,,
Bacheha-Ye aseman,1997,,
Toy Story,1995,,
Braveheart,1995,,
Reservoir Dogs,1992,,
Full Metal Jacket,1987,,
Idi i smotri,1985,,
Aliens,1986,,
Amadeus,1984,,
Scarface,1983,,
Star Wars: Episode VI - Return of the Jedi,1983,,
Das Boot,1981,,
Taxi Driver,1976,,
The Sting,1973,,
A Clockwork Orange,1971,,
2001: A Space Odyssey,1968,,
Per qualche dollaro in più,1965,,
Lawrence of Arabia,1962,,
The Apartment,1960,,
North by Northwest,1959,,
Vertigo,1958,,
Singin' in the Rain,1952,,
Ikiru,1952,,
Ladri di biciclette,1948,,
Double Indemnity,1944,,
Citizen Kane,1941,,
M - Eine Stadt sucht einen Mörder,1931,,
Metropolis,1927,,
The Kid,1921,,
Chhichhore,2019,,
Uri: The Surgical Strike,2018,,
K.G.F: Chapter 1,2018,,
Green Book,2018,,
"Three Billboards Outside Ebbing, Missouri",2017,,
Talvar,2015,,
Baahubali 2: The Conclusion,2017,,
Klaus,2019,,
Drishyam,2015,,
Queen,2013,,
Mandariinid,2013,,
Bhaag Milkha Bhaag,2013,,
Gangs of Wasseypur,2012,,
Udaan,2010,,
Paan Singh Tomar,2012,,
El secreto de sus ojos,2009,,
Warrior,2011,,
Shutter Island,2010,,
Up,2009,,
The Wolf of Wall Street,2013,,
Chak De! India,2007,,
There Will Be Blood,2007,,
Pan's Labyrinth,2006,,
Toy Story 3,2010,,
V for Vendetta,2005,,
Rang De Basanti,2006,,
Black,2005,,
Batman Begins,2005,,
"Swades: We, the People",2004,,
Der Untergang,2004,,
Hauru no ugoku shiro,2004,,
A Beautiful Mind,2001,,
Hera Pheri,2000,,
"Lock, Stock and Two Smoking Barrels",1998,,
L.A. Confidential,1997,,
Eskiya,1996,,
Heat,1995,,
Casino,1995,,
Andaz Apna Apna,1994,,
Unforgiven,1992,,
Indiana Jones and the Last Crusade,1989,,
Dom za vesanje,1988,,
Tonari no Totoro,1988,,
Die Hard,1988,,
Ran,1985,,
Raging Bull,1980,,
Stalker,1979,,
Höstsonaten,1978,,
The Message,1976,,
Sholay,1975,,
Monty Python and the Holy Grail,1975,,
The Great Escape,1963,,
To Kill a Mockingbird,1962,,
Yôjinbô,1961,,
Judgment at Nuremberg,1961,,
Some Like It Hot,1959,,
Smultronstället,1957,,
Det sjunde inseglet,1957,,
Du rififi chez les hommes,1955,,
Dial M for Murder,1954,,
Tôkyô monogatari,1953,,
Rashômon,1950,,
All About Eve,1950,,
The Treasure of the Sierra Madre,1948,,
To Be or Not to Be,1942,,
The Gold Rush,1925,,
Sherlock Jr.,1924,,
Portrait de la jeune fille en feu,2019,,
Pink,2016,,
Koe no katachi,2016,,
Contratiempo,2016,,
Ah-ga-ssi,2016,,
Mommy,2014,,
Haider,2014,,
Logan,2017,,
Room,2015,,
Relatos salvajes,2014,,
Soul,2020,,
Kis Uykusu,2014,,
PK,2014,,
OMG: Oh My God!,2012,,
The Grand Budapest Hotel,2014,,
Gone Girl,2014,,
Ôkami kodomo no Ame to Yuki,2012,,
Hacksaw Ridge,2016,,
Inside Out,2015,,
Barfi!,2012,,
12 Years a Slave,2013,,
Rush,2013,,
Ford v Ferrari,2019,,
Spotlight,2015,,
Song of the Sea,2014,,
Kahaani,2012,,
Zindagi Na Milegi Dobara,2011,,
Prisoners,2013,,
Mad Max: Fury Road,2015,,
A Wednesday,2008,,
Gran Torino,2008,,
Harry Potter and the Deathly Hallows: Part 2,2011,,
Okuribito,2008,,
Hachi: A Dog's Tale,2009,,
Mary and Max,2009,,
How to Train Your Dragon,2010,,
Into the Wild,2007,,
No Country for Old Men,2007,,
Lage Raho Munna Bhai,2006,,
Million Dollar Baby,2004,,
Hotel Rwanda,2004,,
Taegukgi hwinalrimyeo,2004,,
Before Sunset,2004,,
Munna Bhai M.B.B.S.,2003,,
Salinui chueok,2003,,
Dil Chahta Hai,2001,,
Kill Bill: Vol. 1,2003,,
Finding Nemo,2003,,
Catch Me If You Can,2002,,
Amores perros,2000,,
"Monsters, Inc.",2001,,
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,,
Lagaan: Once Upon a Time in India,2001,,
The Sixth Sense,1999,,
La leggenda del pianista sull'oceano,1998,,
The Truman Show,1998,,
"Crna macka, beli macor",1998,,
The Big Lebowski,1998,,
Fa yeung nin wah,2000,,
Trainspotting,1996,,
Fargo,1996,,
Underground,1995,,
La haine,1995,,
Dilwale Dulhania Le Jayenge,1995,,
Before Sunrise,1995,,
Trois couleurs: Rouge,1994,,
Chung Hing sam lam,1994,,
Jurassic Park,1993,,
In the Name of the Father,1993,,
Ba wang bie ji,1993,,
Dà hóng denglong gaogao guà,1991,,
Dead Poets Society,1989,,
Stand by Me,1986,,
Platoon,1986,,
"Paris, Texas",1984,,
Kaze no tani no Naushika,1984,,
The Thing,1982,,
Pink Floyd: The Wall,1982,,
Fitzcarraldo,1982,,
Fanny och Alexander,1982,,
Blade Runner,1982,,
The Elephant Man,1980,,
Life of Brian,1979,,
The Deer Hunter,1978,,
Rocky,1976,,
Network,1976,,
Barry Lyndon,1975,,
Zerkalo,1975,,
Chinatown,1974,,
Paper Moon,1973,,
Viskningar och rop,1972,,
Solaris,1972,,
Le samouraï,1967,,
Cool Hand Luke,1967,,
Persona,1966,,
Andrei Rublev,1966,,
La battaglia di Algeri,1966,,
El ángel exterminador,1962,,
What Ever Happened to Baby Jane?,1962,,
Sanjuro,1962,,
The Man Who Shot Liberty Valance,1962,,
Ivanovo detstvo,1962,,
Jungfrukällan,1960,,
Inherit the Wind,1960,,
Les quatre cents coups,1959,,
Ben-Hur,1959,,
Kakushi-toride no san-akunin,1958,,
Le notti di Cabiria,1957,,
Kumonosu-jô,1957,,
The Bridge on the River Kwai,1957,,
On the Waterfront,1954,,
Le salaire de la peur,1953,,
Ace in the Hole,1951,,
White Heat,1949,,
The Third Man,1949,,
The Red Shoes,1948,,
The Shop Around the Corner,1940,,
Rebecca,1940,,
Mr. Smith Goes to Washington,1939,,
Gone with the Wind,1939,,
La Grande Illusion,1937,,
It Happened One Night,1934,,
La passion de Jeanne d'Arc,1928,,
The Circus,1928,,
Sunrise: A Song of Two Humans,1927,,
The General,1926,,
Das Cabinet des Dr. Caligari,1920,,
Badhaai ho,2018,,
Togo,2019,,
Airlift,2016,,
Bajrangi Bhaijaan,2015,,
Baby,2015,,
La La Land,2016,,
Lion,2016,,
The Martian,2015,,
Zootopia,2016,,
Bãhubali: The Beginning,2015,,
Kaguyahime no monogatari,2013,,
Wonder,2017,,
Gully Boy,2019,,
Special Chabbis,2013,,
Short Term 12,2013,,
Serbuan maut 2: Berandal,2014,,
The Imitation Game,2014,,
Guardians of the Galaxy,2014,,
Blade Runner 2049,2017,,
Her,2013,,
Bohemian Rhapsody,2018,,
The Revenant,2015,,
The Perks of Being a Wallflower,2012,,
Tropa de Elite 2: O Inimigo Agora é Outro,2010,,
The King's Speech,2010,,
The Help,2011,,
Deadpool,2016,,
Darbareye Elly,2009,,
Dev.D,2009,,
Yip Man,2008,,
My Name Is Khan,2010,,
Nefes: Vatan Sagolsun,2009,,
Slumdog Millionaire,2008,,
Black Swan,2010,,
Tropa de Elite,2007,,
The Avengers,2012,,
Persepolis,2007,,
Dallas Buyers Club,2013,,
The Pursuit of Happyness,2006,,
Blood Diamond,2006,,
The Bourne Ultimatum,2007,,
Bin-jip,2004,,
Sin City,2005,,
Le scaphandre et le papillon,2007,,
G.O.R.A.,2004,,
Ratatouille,2007,,
Casino Royale,2006,,
Kill Bill: Vol. 2,2004,,
Vozvrashchenie,2003,,
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,,
Mar adentro,2014,,
Cinderella Man,2005,,
Kal Ho Naa Ho,2003,,
Mou gaan dou,2002,,
Pirates of the Caribbean: The Curse of the Black Pearl,2003,,
Big Fish,2003,,
The Incredibles,2004,,
Yeopgijeogin geunyeo,2001,,
Dogville,2003,,
Vizontele,2001,,
Donnie Darko,2001,,
Magnolia,1999,,
Dancer in the Dark,2000,,
The Straight Story,1999,,
Pâfekuto burû,1997,,
Festen,1998,,
Central do Brasil,1998,,
The Iron Giant,1999,,
Knockin' on Heaven's Door,1997,,
Sling Blade,1996,,
Secrets & Lies,1996,,
Twelve Monkeys,1995,,
Kôkaku Kidôtai,1995,,
The Nightmare Before Christmas,1993,,
Groundhog Day,1993,,
Bound by Honor,1993,,
Scent of a Woman,1992,,
Aladdin,1992,,
JFK,1991,,
Beauty and the Beast,1991,,
Dances with Wolves,1990,,
Do the Right Thing,1989,,
Rain Man,1988,,
Akira,1988,,
The Princess Bride,1987,,
Der Himmel über Berlin,1987,,
Au revoir les enfants,1987,,
Tenkû no shiro Rapyuta,1986,,
The Terminator,1984,,
Gandhi,1982,,
Kagemusha,1980,,
Being There,1979,,
Annie Hall,1977,,
Jaws,1975,,
Dog Day Afternoon,1975,,
Young Frankenstein,1974,,
Papillon,1973,,
The Exorcist,1973,,
Sleuth,1972,,
The Last Picture Show,1971,,
Fiddler on the Roof,1971,,
Il conformista,1970,,
Butch Cassidy and the Sundance Kid,1969,,
Rosemary's Baby,1968,,
