third_party_movie_data/extracted_datasets/movie_title,release_year,movie_votes,movie_grade,movie_letter_grade
The Shawshank Redemption,1994,0,0.0,F
The Godfather,1972,0,0.0,F
The Dark Knight,2008,0,0.0,F
The Godfather: Part II,1974,0,0.0,F
12 Angry Men,1957,0,0.0,F
The Lord of the Rings: The Return of the King,2003,0,0.0,F
Pulp Fiction,1994,0,0.0,F
Schindler's List,1993,0,0.0,F
Inception,2010,0,0.0,F
Fight Club,1999,0,0.0,F
The Lord of the Rings: The Fellowship of the Ring,2001,0,0.0,F
Forrest Gump,1994,0,0.0,F
"Il buono, il brutto, il cattivo",1966,0,0.0,F
The Lord of the Rings: The Two Towers,2002,0,0.0,F
The Matrix,1999,0,0.0,F
Goodfellas,1990,0,0.0,F
Star Wars: Episode V - The Empire Strikes Back,1980,0,0.0,F
One Flew Over the Cuckoo's Nest,1975,0,0.0,F
Hamilton,2020,0,0.0,F
Gisaengchung,2019,0,0.0,F
Soorarai Pottru,2020,0,0.0,F
Interstellar,2014,0,0.0,F
Cidade de Deus,2002,0,0.0,F
Sen to Chihiro no kamikakushi,2001,0,0.0,F
Saving Private Ryan,1998,0,0.0,F
The Green Mile,1999,0,0.0,F
La vita è bella,1997,0,0.0,F
Se7en,1995,0,0.0,F
The Silence of the Lambs,1991,0,0.0,F
Star Wars,1977,0,0.0,F
Seppuku,1962,0,0.0,F
Shichinin no samurai,1954,0,0.0,F
It's a Wonderful Life,1946,0,0.0,F
Joker,2019,0,0.0,F
Whiplash,2014,0,0.0,F
The Intouchables,2011,0,0.0,F
The Prestige,2006,0,0.0,F
The Departed,2006,0,0.0,F
The Pianist,2002,0,0.0,F
Gladiator,2000,0,0.0,F
American History X,1998,0,0.0,F
The Usual Suspects,1995,0,0.0,F
Léon,1994,0,0.0,F
The Lion King,1994,0,0.0,F
Terminator 2: Judgment Day,1991,0,0.0,F
Nuovo Cinema Paradiso,1988,0,0.0,F
Hotaru no haka,1988,0,0.0,F
Back to the Future,1985,0,0.0,F
Once Upon a Time in the West,1968,0,0.0,F
Psycho,1960,0,0.0,F
Casablanca,1942,0,0.0,F
Modern Times,1936,0,0.0,F
City Lights,1931,0,0.0,F
Capharnaüm,2018,0,0.0,F
Ayla: The Daughter of War,2017,0,0.0,F
Vikram Vedha,2017,0,0.0,F
Kimi no na wa.,2016,0,0.0,F
Dangal,2016,0,0.0,F
Spider-Man: Into the Spider-Verse,2018,0,0.0,F
Avengers: Endgame,2019,0,0.0,F
Avengers: Infinity War,2018,0,0.0,F
Coco,2017,0,0.0,F
Django Unchained,2012,0,0.0,F
The Dark Knight Rises,2012,0,0.0,F
3 Idiots,2009,0,0.0,F
Taare Zameen Par,2007,0,0.0,F
WALL·E,2008,0,0.0,F
The Lives of Others,2006,0,0.0,F
Oldeuboi,2003,0,0.0,F
Memento,2000,0,0.0,F
Mononoke-hime,1997,0,0.0,F
Once Upon a Time in America,1984,0,0.0,F
Raiders of the Lost Ark,1981,0,0.0,F
The Shining,1980,0,0.0,F
Apocalypse Now,1979,0,0.0,F
Alien,1979,0,0.0,F
Anand,1971,0,0.0,F
Tengoku to jigoku,1963,0,0.0,F
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0,0.0,F
Witness for the Prosecution,1957,0,0.0,F
Paths of Glory,1957,0,0.0,F
Rear Window,1954,0,0.0,F
Sunset Blvd.,1950,0,0.0,F
The Great Dictator,1940,0,0.0,F
1917,2019,0,0.0,F
Tumbbad,2018,0,0.0,F
Andhadhun,2018,0,0.0,F
Drishyam,2013,0,0.0,F
Jagten,2012,0,0.0,F
Jodaeiye Nader az Simin,2011,0,0.0,F
Incendies,2010,0,0.0,F
Miracle in cell NO.7,2019,0,0.0,F
Babam ve Oglum,2005,0,0.0,F
Inglourious Basterds,2009,0,0.0,F
Eternal Sunshine of the Spotless Mind,2004,0,0.0,F
Amélie,2001,0,0.0,F
Snatch,2000,0,0.0,F
Requiem for a Dream,2000,0,0.0,F
American Beauty,1999,0,0.0,F
Good Will Hunting,1997,0,0.0,F
Bacheha-Ye aseman,1997,0,0.0,F
Toy Story,1995,0,0.0,F
Braveheart,1995,0,0.0,F
Reservoir Dogs,1992,0,0.0,F
Full Metal Jacket,1987,0,0.0,F
Idi i smotri,1985,0,0.0,F
Aliens,1986,0,0.0,F
Amadeus,1984,0,0.0,F
Scarface,1983,0,0.0,F
Star Wars: Episode VI - Return of the Jedi,1983,0,0.0,F
Das Boot,1981,0,0.0,F
Taxi Driver,1976,0,0.0,F
The Sting,1973,0,0.0,F
A Clockwork Orange,1971,0,0.0,F
2001: A Space Odyssey,1968,0,0.0,F
Per qualche dollaro in più,1965,0,0.0,F
Lawrence of Arabia,1962,0,0.0,F
The Apartment,1960,0,0.0,F
North by Northwest,1959,0,0.0,F
Vertigo,1958,0,0.0,F
Singin' in the Rain,1952,0,0.0,F
Ikiru,1952,0,0.0,F
Ladri di biciclette,1948,0,0.0,F
Double Indemnity,1944,0,0.0,F
Citizen Kane,1941,0,0.0,F
M - Eine Stadt sucht einen Mörder,1931,0,0.0,F
Metropolis,1927,0,0.0,F
The Kid,1921,0,0.0,F
Chhichhore,2019,0,0.0,F
Uri: The Surgical Strike,2018,0,0.0,F
K.G.F: Chapter 1,2018,0,0.0,F
Green Book,2018,0,0.0,F
"Three Billboards Outside Ebbing, Missouri",2017,0,0.0,F
Talvar,2015,0,0.0,F
Baahubali 2: The Conclusion,2017,0,0.0,F
Klaus,2019,0,0.0,F
Drishyam,2015,0,0.0,F
Queen,2013,0,0.0,F
Mandariinid,2013,0,0.0,F
Bhaag Milkha Bhaag,2013,0,0.0,F
Gangs of Wasseypur,2012,0,0.0,F
Udaan,2010,0,0.0,F
Paan Singh Tomar,2012,0,0.0,F
El secreto de sus ojos,2009,0,0.0,F
Warrior,2011,0,0.0,F
Shutter Island,2010,0,0.0,F
Up,2009,0,0.0,F
The Wolf of Wall Street,2013,0,0.0,F
Chak De! India,2007,0,0.0,F
There Will Be Blood,2007,0,0.0,F
Pan's Labyrinth,2006,0,0.0,F
Toy Story 3,2010,0,0.0,F
V for Vendetta,2005,0,0.0,F
Rang De Basanti,2006,0,0.0,F
Black,2005,0,0.0,F
Batman Begins,2005,0,0.0,F
"Swades: We, the People",2004,0,0.0,F
Der Untergang,2004,0,0.0,F
Hauru no ugoku shiro,2004,0,0.0,F
A Beautiful Mind,2001,0,0.0,F
Hera Pheri,2000,0,0.0,F
"Lock, Stock and Two Smoking Barrels",1998,0,0.0,F
L.A. Confidential,1997,0,0.0,F
Eskiya,1996,0,0.0,F
Heat,1995,0,0.0,F
Casino,1995,0,0.0,F
Andaz Apna Apna,1994,0,0.0,F
Unforgiven,1992,0,0.0,F
Indiana Jones and the Last Crusade,1989,0,0.0,F
Dom za vesanje,1988,0,0.0,F
Tonari no Totoro,1988,0,0.0,F
Die Hard,1988,0,0.0,F
Ran,1985,0,0.0,F
Raging Bull,1980,0,0.0,F
Stalker,1979,0,0.0,F
Höstsonaten,1978,0,0.0,F
The Message,1976,0,0.0,F
Sholay,1975,0,0.0,F
Monty Python and the Holy Grail,1975,0,0.0,F
The Great Escape,1963,0,0.0,F
To Kill a Mockingbird,1962,0,0.0,F
Yôjinbô,1961,0,0.0,F
Judgment at Nuremberg,1961,0,0.0,F
Some Like It Hot,1959,0,0.0,F
Smultronstället,1957,0,0.0,F
Det sjunde inseglet,1957,0,0.0,F
Du rififi chez les hommes,1955,0,0.0,F
Dial M for Murder,1954,0,0.0,F
Tôkyô monogatari,1953,0,0.0,F
Rashômon,1950,0,0.0,F
All About Eve,1950,0,0.0,F
The Treasure of the Sierra Madre,1948,0,0.0,F
To Be or Not to Be,1942,0,0.0,F
The Gold Rush,1925,0,0.0,F
Sherlock Jr.,1924,0,0.0,F
Portrait de la jeune fille en feu,2019,0,0.0,F
Pink,2016,0,0.0,F
Koe no katachi,2016,0,0.0,F
Contratiempo,2016,0,0.0,F
Ah-ga-ssi,2016,0,0.0,F
Mommy,2014,0,0.0,F
Haider,2014,0,0.0,F
Logan,2017,0,0.0,F
Room,2015,0,0.0,F
Relatos salvajes,2014,0,0.0,F
Soul,2020,0,0.0,F
Kis Uykusu,2014,0,0.0,F
PK,2014,0,0.0,F
OMG: Oh My God!,2012,0,0.0,F
The Grand Budapest Hotel,2014,0,0.0,F
Gone Girl,2014,0,0.0,F
Ôkami kodomo no Ame to Yuki,2012,0,0.0,F
Hacksaw Ridge,2016,0,0.0,F
Inside Out,2015,0,0.0,F
Barfi!,2012,0,0.0,F
12 Years a Slave,2013,0,0.0,F
Rush,2013,0,0.0,F
Ford v Ferrari,2019,0,0.0,F
Spotlight,2015,0,0.0,F
Song of the Sea,2014,0,0.0,F
Kahaani,2012,0,0.0,F
Zindagi Na Milegi Dobara,2011,0,0.0,F
Prisoners,2013,0,0.0,F
Mad Max: Fury Road,2015,0,0.0,F
A Wednesday,2008,0,0.0,F
Gran Torino,2008,0,0.0,F
Harry Potter and the Deathly Hallows: Part 2,2011,0,0.0,F
Okuribito,2008,0,0.0,F
Hachi: A Dog's Tale,2009,0,0.0,F
Mary and Max,2009,0,0.0,F
How to Train Your Dragon,2010,0,0.0,F
Into the Wild,2007,0,0.0,F
No Country for Old Men,2007,0,0.0,F
Lage Raho Munna Bhai,2006,0,0.0,F
